Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Completion Date,Purchaser Address Indicator,Postal Code,Postal District,Postal Sector,Planning Region,Planning Area
KOPAR AT NEWTON,"1,486,000",613.55,"2,422",04 Apr 2020,8 MAKEWAY AVENUE #05-12,New Sale,Strata,57,"26,070",-,Apartment,1,99 yrs from 22/04/2019,Uncompleted,HDB,228607,09,22,Central Region,Novena
TREASURE AT TAMPINES,"955,000",678.13,"1,408",04 Apr 2020,3 TAMPINES LANE #04-09,New Sale,Strata,63,"15,159",-,Condominium,1,99 yrs from 29/11/2018,Uncompleted,N.A,528483,18,52,East Region,Tampines
DAINTREE RESIDENCE,"1,880,790","1,119.46","1,680",04 Apr 2020,11M TOH TUCK ROAD #01-66,New Sale,Strata,104,"18,085",-,Condominium,1,99 yrs from 17/07/2017,Uncompleted,HDB,596134,21,59,Central Region,Bukit Timah
STIRLING RESIDENCES,"1,960,000","1,054.87","1,858",04 Apr 2020,21 STIRLING ROAD #34-02,New Sale,Strata,98,"20,000",-,Apartment,1,99 yrs from 18/08/2017,Uncompleted,Private,148960,03,14,Central Region,Queenstown
STIRLING RESIDENCES,"1,185,000",635.08,"1,866",04 Apr 2020,23 STIRLING ROAD #03-12,New Sale,Strata,59,"20,085",-,Apartment,1,99 yrs from 18/08/2017,Uncompleted,Private,148961,03,14,Central Region,Queenstown
KOPAR AT NEWTON,"1,168,000",516.67,"2,261",04 Apr 2020,6 MAKEWAY AVENUE #05-05,New Sale,Strata,48,"24,333",-,Apartment,1,99 yrs from 22/04/2019,Uncompleted,Private,228606,09,22,Central Region,Novena
KOPAR AT NEWTON,"1,128,000",516.67,"2,183",04 Apr 2020,6 MAKEWAY AVENUE #01-05,New Sale,Strata,48,"23,500",-,Apartment,1,99 yrs from 22/04/2019,Uncompleted,N.A,228606,09,22,Central Region,Novena
PARC ESTA,"1,252,000",742.72,"1,686",04 Apr 2020,902 SIMS AVENUE #13-10,New Sale,Strata,69,"18,145",-,Apartment,1,99 yrs from 12/07/2018,Uncompleted,N.A,408967,14,40,Central Region,Geylang
KOPAR AT NEWTON,"1,524,000",688.9,"2,212",04 Apr 2020,8 MAKEWAY AVENUE #05-17,New Sale,Strata,64,"23,813",-,Apartment,1,99 yrs from 22/04/2019,Uncompleted,N.A,228607,09,22,Central Region,Novena
KOPAR AT NEWTON,"1,500,000",688.9,"2,177",04 Apr 2020,8 MAKEWAY AVENUE #03-17,New Sale,Strata,64,"23,438",-,Apartment,1,99 yrs from 22/04/2019,Uncompleted,N.A,228607,09,22,Central Region,Novena
